manifest_row	database_record_id	record_occurrence	taxon_label_in_database	record_source	public_accession	sequence_length_bp	retrieval_information	public_equivalent_accession	note
DB015	DQ158438-Batra_Bufo_bufo	1	Bufo bufo	NCBI GenBank	DQ158438	52	Retrieve from NCBI Nucleotide using the listed accession		
DB016	DQ283111-Batra_Pelodytes_punctatus	1	Pelodytes punctatus	NCBI GenBank	DQ283111	53	Retrieve from NCBI Nucleotide using the listed accession		
DB017	DQ283113-Batra_Pelobates_fuscus	1	Pelobates fuscus	NCBI GenBank	DQ283113	52	Retrieve from NCBI Nucleotide using the listed accession		
DB018	DQ283435-Batra_Discoglossus_pictus	1	Discoglossus pictus	NCBI GenBank	DQ283435	53	Retrieve from NCBI Nucleotide using the listed accession		
DB019	DQ283441-Batra_Triturus_cristatus	1	Triturus cristatus	NCBI GenBank	DQ283441	53	Retrieve from NCBI Nucleotide using the listed accession		
DB020	EF566953-Batra_Hyla_meridionalis	1	Hyla meridionalis	NCBI GenBank	EF566953	52	Retrieve from NCBI Nucleotide using the listed accession		
DB021	EU341120-Batra_Dyscophus_antongilii	1	Dyscophus antongilii	NCBI GenBank	EU341120	52	Retrieve from NCBI Nucleotide using the listed accession		
DB022	EU531353-Batra_Bombina_pachypus	1	Bombina pachypus	NCBI GenBank	EU531353	53	Retrieve from NCBI Nucleotide using the listed accession		
DB023	EU880317-Batra_Euproctus_platycephalus	1	Euproctus platycephalus	NCBI GenBank	EU880317	51	Retrieve from NCBI Nucleotide using the listed accession		
DB024	EU880332-Batra_Salamandrina_terdigitata	1	Salamandrina terdigitata	NCBI GenBank	EU880332	52	Retrieve from NCBI Nucleotide using the listed accession		
DB025	EU880335-Batra_Ichthyosaura_alpestris	1	Ichthyosaura alpestris	NCBI GenBank	EU880335	53	Retrieve from NCBI Nucleotide using the listed accession		
DB026	EU880339-Batra_Lissotriton_vulgaris	1	Lissotriton vulgaris	NCBI GenBank	EU880339	52	Retrieve from NCBI Nucleotide using the listed accession		
DB027	EU938400-Batra_Epidalea;Epidalea_calamita	1	Epidalea calamita	NCBI GenBank	EU938400	51	Retrieve from NCBI Nucleotide using the listed accession		
DB028	FJ882756-Batra_Hyla_meridionalis	1	Hyla meridionalis	NCBI GenBank	FJ882756	52	Retrieve from NCBI Nucleotide using the listed accession		
DB029	FJ882806-Batra_Bufo_bufo	1	Bufo bufo	NCBI GenBank	FJ882806	52	Retrieve from NCBI Nucleotide using the listed accession		
DB030	FJ882813-Batra_Bufotes_viridis	1	Bufotes viridis	NCBI GenBank	FJ882813	51	Retrieve from NCBI Nucleotide using the listed accession		
DB031	HQ697272-Batra_Triturus_carnifex	1	Triturus carnifex	NCBI GenBank	HQ697272	51	Retrieve from NCBI Nucleotide using the listed accession		
DB032	HQ697273-Batra_Triturus_cristatus	1	Triturus cristatus	NCBI GenBank	HQ697273	53	Retrieve from NCBI Nucleotide using the listed accession		
DB033	JN627421-Batra_Pelophylax_ridibundus	1	Pelophylax ridibundus	NCBI GenBank	JN627421	54	Retrieve from NCBI Nucleotide using the listed accession		
DB034	JN627423-Batra_Pelophylax_ridibundus	1	Pelophylax ridibundus	NCBI GenBank	JN627423	54	Retrieve from NCBI Nucleotide using the listed accession		
DB035	JN627424.1-Batra_Pelophylax_esculentus	1	Pelophylax esculentus	NCBI GenBank	JN627424.1	54	Retrieve from NCBI Nucleotide using the listed accession		
DB036	JN627426-Batra_Pelophylax_lessonae	1	Pelophylax lessonae	NCBI GenBank	JN627426	54	Retrieve from NCBI Nucleotide using the listed accession		
DB037	JQ626638-Batra_Discoglossus_sardus	1	Discoglossus sardus	NCBI GenBank	JQ626638	53	Retrieve from NCBI Nucleotide using the listed accession		
DB038	JQ626641-Batra_Discoglossus_sardus	1	Discoglossus sardus	NCBI GenBank	JQ626641	53	Retrieve from NCBI Nucleotide using the listed accession		
DB039	JQ626642-Batra_Discoglossus_sardus	1	Discoglossus sardus	NCBI GenBank	JQ626642	53	Retrieve from NCBI Nucleotide using the listed accession		
DB040	JQ626643-Batra_Discoglossus_pictus	1	Discoglossus pictus	NCBI GenBank	JQ626643	53	Retrieve from NCBI Nucleotide using the listed accession		
DB041	JX564863-Batra_Dyscophus_antongilii	1	Dyscophus antongilii	NCBI GenBank	JX564863	52	Retrieve from NCBI Nucleotide using the listed accession		
DB042	JX893174-Batra_Bombina_variegata	1	Bombina variegata	NCBI GenBank	JX893174	53	Retrieve from NCBI Nucleotide using the listed accession		
DB043	JX893177-Batra_Bombina_variegata	1	Bombina variegata	NCBI GenBank	JX893177	53	Retrieve from NCBI Nucleotide using the listed accession		
DB044	JX893179-Batra_Bombina_pachypus	1	Bombina pachypus	NCBI GenBank	JX893179	53	Retrieve from NCBI Nucleotide using the listed accession		
DB045	JX893180-Batra_Bombina_pachypus	1	Bombina pachypus	NCBI GenBank	JX893180	53	Retrieve from NCBI Nucleotide using the listed accession		
DB046	KC977215-Batra_Rana_temporaria	1	Rana temporaria	NCBI GenBank	KC977215	52	Retrieve from NCBI Nucleotide using the listed accession		
DB047	KC977226-Batra_Rana_temporaria	1	Rana temporaria	NCBI GenBank	KC977226	52	Retrieve from NCBI Nucleotide using the listed accession		
DB048	KF645358-Batra_Salamandra_lanzai	1	Salamandra lanzai	NCBI GenBank	KF645358	52	Retrieve from NCBI Nucleotide using the listed accession		
DB049	KF645359-Batra_Salamandra_lanzai	1	Salamandra lanzai	NCBI GenBank	KF645359	52	Retrieve from NCBI Nucleotide using the listed accession		
DB050	KF645360-Batra_Salamandra_lanzai	1	Salamandra lanzai	NCBI GenBank	KF645360	52	Retrieve from NCBI Nucleotide using the listed accession		
DB051	KF645366-Batra_Salamandra_salamandra	1	Salamandra salamandra	NCBI GenBank	KF645366	54	Retrieve from NCBI Nucleotide using the listed accession		
DB052	KF645373-Batra_Salamandra_salamandra	1	Salamandra salamandra	NCBI GenBank	KF645373	52	Retrieve from NCBI Nucleotide using the listed accession		
DB053	KF645404-Batra_Salamandra_atra	1	Salamandra atra	NCBI GenBank	KF645404	51	Retrieve from NCBI Nucleotide using the listed accession		
DB054	KF645405-Batra_Salamandra_atra	1	Salamandra atra	NCBI GenBank	KF645405	51	Retrieve from NCBI Nucleotide using the listed accession		
DB055	KF645418-Batra_Salamandra_salamandra	1	Salamandra salamandra	NCBI GenBank	KF645418	54	Retrieve from NCBI Nucleotide using the listed accession		
DB056	KP742596-Batra_Hyla_intermedia	1	Hyla intermedia	NCBI GenBank	KP742596	52	Retrieve from NCBI Nucleotide using the listed accession		
DB057	KP742642-Batra_Hyla_sarda	1	Hyla sarda	NCBI GenBank	KP742642	51	Retrieve from NCBI Nucleotide using the listed accession		
DB058	KP814011-Batra_Pelophylax_kurtmuelleri	1	Pelophylax kurtmuelleri	NCBI GenBank	KP814011	54	Retrieve from NCBI Nucleotide using the listed accession		
DB059	KR869540-Batra_Bombina_orientalis	1	Bombina orientalis	NCBI GenBank	KR869540	53	Retrieve from NCBI Nucleotide using the listed accession		
DB060	KR869571-Batra_Bombina_orientalis	1	Bombina orientalis	NCBI GenBank	KR869571	53	Retrieve from NCBI Nucleotide using the listed accession		
DB061	KR869586-Batra_Bombina_orientalis	1	Bombina orientalis	NCBI GenBank	KR869586	54	Retrieve from NCBI Nucleotide using the listed accession		
DB062	KX269198_Rana_dalmatina	1	Rana dalmatina	NCBI GenBank	KX269198	52	Retrieve from NCBI Nucleotide using the listed accession		
DB063	KY523167-Batra_Proteus_anguinus	1	Proteus anguinus	NCBI GenBank	KY523167	53	Retrieve from NCBI Nucleotide using the listed accession		
DB064	KY523174-Batra_Proteus_anguinus	1	Proteus anguinus	NCBI GenBank	KY523174	52	Retrieve from NCBI Nucleotide using the listed accession		
DB065	KY677760-Batra_Lithobathes_catesbeianus	1	Lithobathes catesbeianus	NCBI GenBank	KY677760	53	Retrieve from NCBI Nucleotide using the listed accession		
DB066	KY677801-Batra_Lithobathes_catesbeianus	1	Lithobathes catesbeianus	NCBI GenBank	KY677801	53	Retrieve from NCBI Nucleotide using the listed accession		
DB067	MF043387-Batra_Salamandra_atra	1	Salamandra atra	NCBI GenBank	MF043387	51	Retrieve from NCBI Nucleotide using the listed accession		
DB068	MN122819-Batra_Triturus_cristatus	1	Triturus cristatus	NCBI GenBank	MN122819	53	Retrieve from NCBI Nucleotide using the listed accession		
DB069	MN122878-Batra_Lissotriton_vulgaris	1	Lissotriton vulgaris	NCBI GenBank	MN122878	52	Retrieve from NCBI Nucleotide using the listed accession		
DB070	MN122883-Batra_Pelophylax_lessonae	1	Pelophylax lessonae	NCBI GenBank	MN122883	54	Retrieve from NCBI Nucleotide using the listed accession		
DB071	MN122891-Batra_Bufo_bufo	1	Bufo bufo	NCBI GenBank	MN122891	52	Retrieve from NCBI Nucleotide using the listed accession		
DB072	MN122932-Batra_Hyla_arborea	1	Hyla arborea	NCBI GenBank	MN122932	51	Retrieve from NCBI Nucleotide using the listed accession		
DB073	MN259072-Batra_Xenopus_laevis	1	Xenopus laevis	NCBI GenBank	MN259072	54	Retrieve from NCBI Nucleotide using the listed accession		
DB074	MT410942-Batra_Pelobates_fuscus	1	Pelobates fuscus	NCBI GenBank	MT410942	53	Retrieve from NCBI Nucleotide using the listed accession		
DB075	MT410949-Batra_Pelophylax_kurtmuelleri	1	Pelophylax kurtmuelleri	NCBI GenBank	MT410949	54	Retrieve from NCBI Nucleotide using the listed accession		
DB076	NC_026895-Batra_Pelophylax_kurtmuelleri	1	Pelophylax kurtmuelleri	NCBI GenBank	NC_026895	54	Retrieve from NCBI Nucleotide using the listed accession		
DB077	OQ319273-Batra_Proteus_anguinus	1	Proteus anguinus	NCBI GenBank	OQ319273	53	Retrieve from NCBI Nucleotide using the listed accession		
DB078	OQ508898-Batra_Pelophylax_bergeri	1	Pelophylax bergeri	NCBI GenBank	OQ508898	54	Retrieve from NCBI Nucleotide using the listed accession		
DB079	OZ123739-Batra_Bombina_variegata	1	Bombina variegata	NCBI GenBank	OZ123739	53	Retrieve from NCBI Nucleotide using the listed accession		
DB080	PP471677-Batra_Bufo_spinosus	1	Bufo spinosus	NCBI GenBank	PP471677	52	Retrieve from NCBI Nucleotide using the listed accession		
DB081	PP471678-Batra_Bufo_spinosus	1	Bufo spinosus	NCBI GenBank	PP471678	52	Retrieve from NCBI Nucleotide using the listed accession		Exact duplicate record in the working FASTA (2 occurrences).
DB082	PP471678-Batra_Bufo_spinosus	2	Bufo spinosus	NCBI GenBank	PP471678	52	Retrieve from NCBI Nucleotide using the listed accession		Exact duplicate record in the working FASTA (2 occurrences).
DB083	PP471682-Batra_Epidalea_Epidalea_calamita	1	Epidalea calamita	NCBI GenBank	PP471682	51	Retrieve from NCBI Nucleotide using the listed accession		
DB084	PP471691-Batra_Pelodytes_punctatus	1	Pelodytes punctatus	NCBI GenBank	PP471691	53	Retrieve from NCBI Nucleotide using the listed accession		
DB085	PQ758684_Rana_italica	1	Rana italica	NCBI GenBank	PQ758684	52	Retrieve from NCBI Nucleotide using the listed accession		
DB086	PQ816544-Batra_Ambystoma_tigrinum	1	Ambystoma tigrinum	NCBI GenBank	PQ816544	53	Retrieve from NCBI Nucleotide using the listed accession		
DB087	PQ858033_Rana_dalmatina	1	Rana dalmatina	NCBI GenBank	PQ858033	52	Retrieve from NCBI Nucleotide using the listed accession		
DB088	PV034403-Batra_Lithobathes_catesbeianus	1	Lithobathes catesbeianus	NCBI GenBank	PV034403	53	Retrieve from NCBI Nucleotide using the listed accession		
DB089	PV054095-Batra_Ambystoma_tigrinum	1	Ambystoma tigrinum	NCBI GenBank	PV054095	53	Retrieve from NCBI Nucleotide using the listed accession		
DB090	Rit2-Batr01_Rana-italica	1	Rana italica	in-house		52	Internal record; no public accession		Public equivalence and deposition status are under verification.
DB091	RS3-Batr01_Bufotes-viridis	1	Bufotes viridis	in-house		51	Internal record; no public accession	FJ882813	Batra sequence identical to public record FJ882813.
DB092	RS7-Batr01_Bufotes-viridis	1	Bufotes viridis	in-house		51	Internal record; no public accession	FJ882813	Batra sequence identical to public record FJ882813.
DB093	U52726-Batra_Epidalea;Epidalea_calamita	1	Epidalea calamita	NCBI GenBank	U52726	51	Retrieve from NCBI Nucleotide using the listed accession		
DB094	Y10943-Batra_Xenopus_laevis	1	Xenopus laevis	NCBI GenBank	Y10943	54	Retrieve from NCBI Nucleotide using the listed accession		
